name,category,description,latitude,longitude,tags,price,address ,link,pro tip,
good hot,aesthetic moments,"architectural saunas in a dope location run by some of my favorite people, Lou & Cooper. go with time on a beautiful day /or a shitty one with friends /or alone. v low key. don't go without jumping in the bay, though i love their shower *so much* and want it for myself. every time i go i tell myself i need to come here more often.",37.9620756,-122.4271283,"sauna, chilllll, the spot",$$,"1950 Stenmark Dr, Richmond, CA 94801",https://www.good-hot-booking.com,bring some fancy face cream and a pint or two of cold raspberries.,
sailing goat,food,the food: honestly mid. the vibes: drunk uncle while he's still fun. open air seating in a covered patio on the water. feels local to the house boat community it neighbors. ,37.9632676,-122.4332871,"restaurant, better vibes than food, seafood, cool space",$$,"1900 Stenmark Dr, Richmond, CA 94801",https://sailinggoatrestaurant.com,"get the fish and chips, sure, but don't come too hungry. come for beers and blackberry picking on the side of road on the drive down into the marina. ",
wildcat canyon,touch grass,my favorite east bay hills walk despite the lack of redwoods. particularly beautiful in spring when the grass is greenest. ,37.9515158,-122.3224289,"park, picnic",free.99,"5755 McBryde Ave, Richmond, CA 94805",https://www.ebparks.org/parks/wildcat-canyon,pick a route that gets vertical quickly and stay up on the ridge line. ,
bull valley roadhouse,food,dark pre‑prohibition vibes in this port costa relic. classy cocktails & family‑style comfort food.,38.0464935,-122.1838311,"restaurant, bar",$$$,"14 Canyon Lake Dr, Port Costa, CA 94569",https://www.bullvalleyroadhouse.com,"this didn't quite make the list, but go get drunk at the warehouse cafe across the street after you've spent enough $$.",
tortilleria el molino,foods,"fresh tortillas & legit mexican plates in the burbs. chile relleno fridays are a sleeper hit. if ever you're in concord, this is the spot.",37.951995,-122.042871,"restaurant, market, mexican",$,"1500 Monument Blvd # F-1, Concord, CA 94520",https://tortillaselmolino.com,,
banter,drinks,"the gem of el cerrito. one of the east bay's best wine lists at a price tag that actually feels fair. big wall of bottles & perfect, unpretentious bites to match. devin will make you want to start collecting vhs after a visit. ",37.9073785,-122.3055552,"bar, wine",$$,"10368 San Pablo Ave, El Cerrito, CA 94530",https://banterwine.com,find claire who runs the place and stocks the wall and who will take you exactly where you need to go. ,
mel-o-dee,drinks,the east bay's premiere strip mall dive bar. strong drinks & haunted-by-a-friendly-ghost vibes. ,37.8991038,-122.2990473,"bar, cocktails",$,"240 El Cerrito Plaza, El Cerrito, CA 94530",https://melodeecocktails.com,,
99 ranch,food,"pan‑asian grocery wonderland – live seafood, durian, & aisles of imported snacks.",37.8985269,-122.3069858,"market, chinese",$,"3288 Pierce St E500, Richmond, CA 94804",https://www.99ranch.com,,
hotsy totsy club,drinks,the best cocktails out of any dive bar out there. camp out on the shuffleboard table and zone out to vintage soft core porn. ,37.895034,-122.3002114,"bar, cocktails",$,"601 San Pablo Ave, Albany, CA 94706",https://www.hotsytotsyclub.com,they let you bring your food from the taco truck in the parking lot (el autolense) inside. ,
tacos el autlense,food,"the best burrito (carnitas, always) in albany, but *perhaps* even the entire east bay. lengua tacos also hit or a chicken burrito if you're feeling healthy af. cash only. eat inside hotsy totsy next door with a cocktail. ",37.895034,-122.3002114,"mexican, truck, the spot",$,"601 San Pablo Ave #2, Albany, CA 94706",https://maps.app.goo.gl/VYJXLA6UuSDNsJ5g7,"if it's not the height of the dinner rush, you can place your order ahead of time via phone. ",
